county_fips,reporting_year,tri_facility_id
17163,2022,62206STSTL3300M
17197,2022,60449BMBMFUSRTE
17019,2022,61821MRTHN511SS
17031,2022,60104HFRMB941CE
17015,2022,61046MDLLN15NRC
17141,2022,61068FDLFDPOBOX
17157,2022,62217LLNSP1901B
17197,2022,6044WPRSNX26E17
17177,2022,61018BRNRC2034C
17015,2022,61074LKYMN64PEN
17031,2022,60650CCRTN3130S
17031,2022,60104BRGWR700SO
17031,2022,60053JHNCR6400W
17119,2022,62249NTRBS1ULTR
17041,2022,61953CBTCRROUTE
17031,2022,60408VLVLN8450S
17201,2022,61132GVTNX1354C
17077,2022,62901TSTPN2200N
17119,2022,62024LNCRPSHAMR
17197,2022,60436CHRMC4166M
17097,2022,6008WBFLBS1731S
17177,2022,61032KLLYS3769R
17097,2022,6008WMRCNB355BI
17197,2022,60434GLVNZ625MI
17111,2022,6009WVRTQC1592N
17143,2022,61656NRRHN6718W
17103,2022,61021GLVNZ310EP
17031,2022,60623CNTRL3200S
17131,2022,61231MMNGR217SE
17091,2022,6090WCMCCT78EAS
17197,2022,60481DWCHM91EKA
17183,2022,6183WRGDNV3NAND
17001,2022,62305PRNCG4618G
17001,2022,6230WPRNCG221PR
17031,2022,60650GRDNR4718R
17031,2022,60007PNRYC1801E
17105,2022,61764NTHNY1037W
17119,2022,6206WBNGBN395BI
17043,2022,60515LVJYN2655W
17197,2022,6040WDTCHM1362D
17031,2022,60202CNHFF221LE
17007,2022,6100WCMCRB2595T
17015,2022,61074MTFRM7034I
17015,2022,61074MTFRM2551W
17015,2022,6105WDRTMT95SJA
17127,2022,62953MSSRPCOUNT
17089,2022,60174MRNTM3709O
17089,2022,60505HRDCR1900P
17031,2022,60620WBCXX8400S
17099,2022,61350LBBYWCENTE
17031,2022,60445CRWNC471W1
17103,2022,61021RYNRG1101E
17097,2022,6004WGRMRC1275E
17089,2022,60123MRCNN1500H
17031,2022,60176MRCNN9515W
17031,2022,60005BRKND511WA
17119,2022,62040GRNTC20THS
17139,2022,61911SCHRC217SO
17057,2022,61484VRMNT29NMA
17143,2022,61641KYSTN7000S
17089,2022,60510FRMNTKIRKR
17029,2022,61938KLKNFPOBOX
17031,2022,60622PRRMT865NP
17019,2022,61802FLXNG136EU
17031,2022,60609MRCNN1101W
17197,2022,60446NNPHS1319M
17201,2022,61072TYLRC750NB
17031,2022,60439KSTLC15185
17031,2022,60018PRRMT385ET
17043,2022,60101PRRMT799SR
17031,2022,6016WFRGDF11631
17119,2022,62048CNCNC2150S
17089,2022,6051WVCNPR12511
17089,2022,60538RCHST2200R
17031,2022,60608PRRMT33SCA
17031,2022,60025PRRMT29LDW
17031,2022,6045WVCNPR761W7
17031,2022,60007HSNRH670GR
17089,2022,60118PRRMT56RCK
17097,2022,60085MDLND17EWA
17107,2022,62656TNCRPRR2XX
17179,2022,61554HNNST220HA
17031,2022,60609CDPRD6W41S
17043,2022,60126KRGRN900IN
17141,2022,61061WDSDVR2XXX
17031,2022,60090SGRDH1351S
17031,2022,60007MTRNC2001L
17031,2022,6063WCRNLL6666W
17197,2022,60436KMLTX4050C
17031,2022,60007CNCHC1501M
17031,2022,60090LNGDN788TU
17031,2022,6000WCMPND153LU
17119,2022,62040MRCNS1700W
17201,2022,61109JMPLT4500K
17161,2022,6120WNPRSL42218
17197,2022,60434LCNTYROUTE
17031,2022,60107LMNMC501EA
17143,2022,61607DDWRD7800S
17127,2022,62953LCTRC2100P
17043,2022,60101SWDNC910ST
17023,2022,62441TRWTR902SS
17199,2022,62959STHRN11543
17099,2022,61350BRGWRCANAL
17111,2022,60180TCHLLOLSON
17031,2022,6047WHRCRS1731C
17119,2022,6206WSTLSS2ACCE
17097,2022,6009WZNNRG9THST
17043,2022,60185NXNTL1860W
17031,2022,60650CJSPR3119S
17043,2022,6051WMRYCR1MREY
17201,2022,61103NGRSL707FU
17163,2022,62206LDCST3414H
17043,2022,60185RCNCL675WE
17097,2022,60061PRRMT12NBU
17113,2022,6175WLDCST1EDIX
17099,2022,61341LDCST2658E
