# Normalized state race totals, 1790-1990 — parse target for censusStateDecades.
#
# SOURCE (public domain, 17 U.S.C. §105):
#   U.S. Census Bureau, Population Division Working Paper No. 56 (twps0056),
#   Gibson & Jung (2002), Tables 15–65 (one sheet per state / D.C.).
#   Landing page: https://www.census.gov/library/working-papers/2002/demo/POP-twps0056.html
#   Machine artifact: https://www2.census.gov/library/working-papers/2002/demo/pop-twps0056/tabs15-65.xlsx
#
# DERIVATION: NUMBER block, first main decade row only (skip Sample / 15% / 5% subrows).
#   Not every state appears every decade (admission / coverage). Free/Slave columns only when
#   they reconstitute Black within ±5. State Black sums per decade equal the committed national
#   CSV exactly (validated by packages/firebase/scripts/derive-twps0056-state.py).
#
# Columns: stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
stateFips,stateName,decade,totalPopulation,blackPopulation,blackFree,blackSlave
18,Indiana,1820,147178,1420,1230,190
18,Indiana,1830,343031,3632,3629,3
18,Indiana,1840,685866,7168,7165,3
18,Indiana,1850,988416,11262,,
18,Indiana,1860,1350428,11428,,
18,Indiana,1870,1680637,24560,,
18,Indiana,1880,1978301,39228,,
18,Indiana,1890,2192404,45215,,
18,Indiana,1900,2516462,57505,,
18,Indiana,1910,2700876,60320,,
18,Indiana,1920,2930390,80810,,
18,Indiana,1930,3238503,111982,,
18,Indiana,1940,3427796,121916,,
18,Indiana,1950,3934224,174168,,
18,Indiana,1960,4662498,269275,,
18,Indiana,1970,5193669,357464,,
18,Indiana,1980,5490224,414785,,
18,Indiana,1990,5544159,432092,,
19,Iowa,1840,43112,188,172,16
19,Iowa,1850,192214,333,,
19,Iowa,1860,674913,1069,,
19,Iowa,1870,1194020,5762,,
19,Iowa,1880,1624615,9516,,
19,Iowa,1890,1912297,10685,,
19,Iowa,1900,2231853,12693,,
19,Iowa,1910,2224771,14973,,
19,Iowa,1920,2404021,19005,,
19,Iowa,1930,2470939,17380,,
19,Iowa,1940,2538268,16694,,
19,Iowa,1950,2621073,19692,,
19,Iowa,1960,2757537,25354,,
19,Iowa,1970,2824376,32596,,
19,Iowa,1980,2913808,41700,,
19,Iowa,1990,2776755,48090,,
20,Kansas,1860,107206,627,625,2
20,Kansas,1870,364399,17108,,
20,Kansas,1880,996096,43107,,
20,Kansas,1890,1428108,49710,,
20,Kansas,1900,1470495,52003,,
20,Kansas,1910,1690949,54030,,
20,Kansas,1920,1769257,57925,,
20,Kansas,1930,1880999,66344,,
20,Kansas,1940,1801028,65138,,
20,Kansas,1950,1905299,73158,,
20,Kansas,1960,2178611,91445,,
20,Kansas,1970,2246578,106977,,
20,Kansas,1980,2363679,126127,,
20,Kansas,1990,2477574,143076,,
21,Kentucky,1790,73677,12544,114,12430
21,Kentucky,1800,220955,41082,739,40343
21,Kentucky,1810,406511,82274,1713,80561
21,Kentucky,1820,564317,129491,2759,126732
21,Kentucky,1830,687917,170130,4917,165213
21,Kentucky,1840,779828,189575,7317,182258
21,Kentucky,1850,982405,220992,10011,210981
21,Kentucky,1860,1155684,236167,10684,225483
21,Kentucky,1870,1321011,222210,,
21,Kentucky,1880,1648690,271451,,
21,Kentucky,1890,1858635,268071,,
21,Kentucky,1900,2147174,284706,,
21,Kentucky,1910,2289905,261656,,
21,Kentucky,1920,2416630,235938,,
21,Kentucky,1930,2614589,226040,,
21,Kentucky,1940,2845627,214031,,
21,Kentucky,1950,2944806,201921,,
21,Kentucky,1960,3038156,215949,,
21,Kentucky,1970,3218706,230793,,
21,Kentucky,1980,3660777,259477,,
21,Kentucky,1990,3685296,262907,,
22,Louisiana,1810,76556,42245,7585,34660
22,Louisiana,1820,153407,79540,10476,69064
22,Louisiana,1830,215739,126298,16710,109588
22,Louisiana,1840,352411,193954,25502,168452
22,Louisiana,1850,517762,262271,17462,244809
22,Louisiana,1860,708002,350373,18647,331726
22,Louisiana,1870,726915,364210,,
22,Louisiana,1880,939946,483655,,
22,Louisiana,1890,1118588,559193,,
22,Louisiana,1900,1381625,650804,,
22,Louisiana,1910,1656388,713874,,
22,Louisiana,1920,1798509,700257,,
22,Louisiana,1930,2101593,776326,,
22,Louisiana,1940,2363880,849303,,
22,Louisiana,1950,2683516,882428,,
22,Louisiana,1960,3257022,1039207,,
22,Louisiana,1970,3641306,1086832,,
22,Louisiana,1980,4205900,1238241,,
22,Louisiana,1990,4219973,1299281,,
23,Maine,1790,96540,538,,
23,Maine,1800,151719,818,,
23,Maine,1810,228705,969,,
23,Maine,1820,298335,929,,
23,Maine,1830,399455,1192,1190,2
23,Maine,1840,501793,1355,,
23,Maine,1850,583169,1356,,
23,Maine,1860,628279,1327,,
23,Maine,1870,626915,1606,,
23,Maine,1880,648936,1451,,
23,Maine,1890,661086,1190,,
23,Maine,1900,694466,1319,,
23,Maine,1910,742371,1363,,
23,Maine,1920,768014,1310,,
23,Maine,1930,797423,1096,,
23,Maine,1940,847226,1304,,
23,Maine,1950,913774,1221,,
23,Maine,1960,969265,3318,,
23,Maine,1970,992048,2800,,
23,Maine,1980,1124660,3128,,
23,Maine,1990,1227928,5138,,
24,Maryland,1790,319728,111079,8043,103036
24,Maryland,1800,341548,125222,19587,105635
24,Maryland,1810,380546,145429,33927,111502
24,Maryland,1820,407350,147127,39730,107397
24,Maryland,1830,447040,155932,52938,102994
24,Maryland,1840,470019,151815,62078,89737
24,Maryland,1850,583034,165091,74723,90368
24,Maryland,1860,687049,171131,83942,87189
24,Maryland,1870,780894,175391,,
24,Maryland,1880,934943,210230,,
24,Maryland,1890,1042390,215657,,
24,Maryland,1900,1188044,235064,,
24,Maryland,1910,1295346,232250,,
24,Maryland,1920,1449661,244479,,
24,Maryland,1930,1631526,276379,,
24,Maryland,1940,1821244,301931,,
24,Maryland,1950,2343001,385972,,
24,Maryland,1960,3100689,518410,,
24,Maryland,1970,3922399,699479,,
24,Maryland,1980,4216975,958150,,
24,Maryland,1990,4781468,1189899,,
25,Massachusetts,1790,378787,5463,,
25,Massachusetts,1800,422845,6452,,
25,Massachusetts,1810,472040,6737,,
25,Massachusetts,1820,523287,6740,,
25,Massachusetts,1830,610408,7049,7048,1
25,Massachusetts,1840,737699,8669,,
25,Massachusetts,1850,994514,9064,,
25,Massachusetts,1860,1231066,9602,,
25,Massachusetts,1870,1457351,13947,,
25,Massachusetts,1880,1783085,18697,,
25,Massachusetts,1890,2238947,22144,,
25,Massachusetts,1900,2805346,31974,,
25,Massachusetts,1910,3366416,38055,,
25,Massachusetts,1920,3852356,45466,,
25,Massachusetts,1930,4249614,52365,,
25,Massachusetts,1940,4316721,55391,,
25,Massachusetts,1950,4690514,73171,,
25,Massachusetts,1960,5148578,111842,,
25,Massachusetts,1970,5689170,175817,,
25,Massachusetts,1980,5737037,221279,,
25,Massachusetts,1990,6016425,300130,,
26,Michigan,1800,3757,139,,
26,Michigan,1810,4762,144,120,24
26,Michigan,1820,7452,157,,
26,Michigan,1830,28004,229,228,1
26,Michigan,1840,212267,707,,
26,Michigan,1850,397654,2583,,
26,Michigan,1860,749113,6799,,
26,Michigan,1870,1184059,11849,,
26,Michigan,1880,1636937,15100,,
